Category,ID,Statement,T1595,T1592,T1589,T1590,T1591,T1598,T1597,T1596,T1593,T1594,T1650,T1583,T1586,T1584,T1587,T1585,T1588,T1608,T1659,T1189,T1190,T1133,T1200,T1566,T1091,T1195,T1199,T1078,T1669,T1651,T1059,T1609,T1610,T1675,T1203,T1674,T1559,T1106,T1053,T1648,T1129,T1072,T1569,T1204,T1047,T1557,T1110,T1555,T1212,T1187,T1606,T1056,T1556,T1111,T1621,T1040,T1003,T1528,T1649,T1558,T1539,T1552
Task,T1020,Determine the operational and safety impacts of cybersecurity lapses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,T1041,Determine impact of software configurations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Task,T1069,Evaluate organizational cybersecurity policy regulatory compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,,
Task,T1070,Evaluate organizational cybersecurity policy alignment with organizational directives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,T1079,Develop cybersecurity risk profiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,T1084,Identify anomalous network activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,T1091,Perform authorized penetration testing on enterprise network assets,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
Task,T1118,Identify vulnerabilities,1,,,,,,,,,,,,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,
Task,T1119,Recommend vulnerability remediation strategies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,T1229,Maintain deployable cyber defense audit toolkits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,T1279,Prepare audit reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,T1341,Perform required reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,T1489,Correlate incident data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,T1619,Perform risk and vulnerability assessments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Task,T1620,Recommend cost-effective security controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0068,Knowledge of programming language structures and logic,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Knowledge,K0674,Knowledge of computer networking protocols,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,
Knowledge,K0675,Knowledge of risk management processes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0676,Knowledge of cybersecurity laws and regulations,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0677,Knowledge of cybersecurity policies and procedures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0678,Knowledge of privacy laws and regulations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0679,Knowledge of privacy policies and procedures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0680,Knowledge of cybersecurity principles and practices,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0681,Knowledge of privacy principles and practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0682,Knowledge of cybersecurity threats,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0683,Knowledge of cybersecurity vulnerabilities,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0684,Knowledge of cybersecurity threat characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0685,Knowledge of access control principles and practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,1,1,1,,,,,,1,
Knowledge,K0686,Knowledge of authentication and authorization tools and techniques,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,1,1,1,,,,1,,1,
Knowledge,K0688,Knowledge of common application vulnerabilities,1,,,,,,,,,,,,,,1,,,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1
Knowledge,K0698,Knowledge of cryptographic key management principles and practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,1,,1,1,1,
Knowledge,K0701,Knowledge of data backup and recovery policies and procedures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Knowledge,K0710,Knowledge of enterprise cybersecurity architecture principles and practices,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Knowledge,K0716,Knowledge of host access control (HAC) systems and software,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Knowledge,K0717,Knowledge of network access control (NAC) systems and software,,,,,,,,,,,1,1,,1,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Knowledge,K0728,"Knowledge of Confidentiality, Integrity and Availability (CIA) principles and practices",,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0729,Knowledge of non-repudiation principles and practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0730,Knowledge of cyber safety principles and practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0742,Knowledge of identity and access management (IAM) principles and practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,
Knowledge,K0751,Knowledge of system threats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0752,Knowledge of system vulnerabilities,1,,,,,,,,,,,,,,1,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,
Knowledge,K0760,Knowledge of server diagnostic tools and techniques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0761,Knowledge of Fault Detection and Diagnostics (FDD) tools and techniques,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0770,Knowledge of system administration principles and practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0778,Knowledge of enterprise information technology (IT) architecture principles and practices,,,,,,,,,,,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
Knowledge,K0779,Knowledge of systems engineering processes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0783,Knowledge of network attack characteristics,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0791,Knowledge of defense-in-depth principles and practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0797,Knowledge of ethical hacking tools and techniques,1,,,,,,1,1,1,1,,,,,1,,,,1,1,1,1,,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,,,,,,1,1,1,1,1,1
Knowledge,K0813,Knowledge of interpreted and compiled programming language characteristics,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0832,Knowledge of cyberattack characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0833,Knowledge of cyberattack actor characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0837,Knowledge of hardening tools and techniques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0844,Knowledge of cyber attack stages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0845,Knowledge of cyber intrusion activity phases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0865,Knowledge of data classification standards and best practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0866,Knowledge of data classification tools and techniques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0870,Knowledge of enterprise architecture (EA) reference models and frameworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0871,Knowledge of enterprise architecture (EA) principles and practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Knowledge,K0879,Knowledge of industry cybersecurity models and frameworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0880,Knowledge of access control models and frameworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0882,Knowledge of ethical hacking principles and practices,,,,,,,1,1,1,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,1,1,1,1,1,1
Knowledge,K0891,Knowledge of the Open Systems Interconnect (OSI) reference model,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0915,Knowledge of network architecture principles and practices,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Knowledge,K0924,Knowledge of network analysis tools and techniques,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Knowledge,K0934,Knowledge of data classification policies and procedures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0939,Knowledge of packet-level analysis tools and techniques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0942,Knowledge of cryptology principles and practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
Knowledge,K0955,Knowledge of penetration testing principles and practices,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,
Knowledge,K0956,Knowledge of penetration testing tools and techniques,1,,,,,,,,,,,,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,1,1,1,1,1,1
Knowledge,K0969,Knowledge of cyber-attack tools and techniques,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K0983,Knowledge of computer networking principles and practices,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Knowledge,K1014,Knowledge of network security principles and practices,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
Knowledge,K1076,Knowledge of risk scoring principles and practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K1079,Knowledge of web application security risks,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,
Knowledge,K1087,Knowledge of social engineering tools and techniques,,1,1,,1,1,,,1,1,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
Knowledge,K1129,Knowledge of cyber defense auditing laws and regulations,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K1130,Knowledge of cyber defense auditing policies and practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge,K1182,Knowledge of organizational cybersecurity policies and configurations,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill,S0483,Skill in identifying software communications vulnerabilities,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,1,
Skill,S0492,Skill in performing threat environment analysis,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill,S0532,Skill in analyzing software configurations,,,,,,,,,,,,,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Skill,S0543,Skill in scanning for vulnerabilities,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill,S0544,Skill in recognizing vulnerabilities,1,,,,,,,,,,1,1,,1,1,,,1,1,,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Skill,S0572,Skill in detecting host- and network-based intrusions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill,S0574,Skill in developing security system controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill,S0578,Skill in evaluating security designs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill,S0588,Skill in performing threat modeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill,S0591,Skill in performing social engineering,,1,1,1,1,1,,1,1,1,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
Skill,S0597,Skill in writing code in a currently supported programming language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,,,,,,,,,
Skill,S0641,Skill in reviewing logs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill,S0642,Skill in identifying evidence of past intrusions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill,S0656,Skill in assessing application vulnerabilities,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill,S0675,Skill in optimizing system performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill,S0686,Skill in performing risk assessments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skill,S0688,Skill in performing network data analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Skill,S0804,Skill in assessing an organization's threat environment,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,